ID,x,y,Building,Level
1,0.33125,0.175,1,1
2,0.3625,0.175,1,1
3,0.40375,0.175,1,1
4,0.4375,0.175,1,1
5,0.33375,0.21875,1,1
6,0.35875,0.21875,1,1
7,0.38125,0.225,1,1
8,0.4,0.20625,1,1
9,0.41875,0.20625,1,1
10,0.4275,0.20625,1,1
11,0.4025,0.23125,1,1
12,0.4125,0.23125,1,1
13,0.3275,0.25,1,1
14,0.34625,0.24375,1,1
15,0.31125,0.1875,1,1
16,0.40125,0.24875,1,1
17,0.4125,0.24625,1,1
18,0.42625,0.24875,1,1
19,0.38375,0.26,1,1
20,0.35875,0.255,1,1
21,0.2975,0.27125,1,1
22,0.33125,0.27125,1,1
23,0.38,0.275,1,1
24,0.4225,0.27125,1,1
25,0.2975,0.335,1,1
26,0.30375,0.3925,1,1
27,0.2975,0.4,1,1
28,0.31375,0.285,1,1
29,0.31375,0.2975,1,1
30,0.31375,0.30875,1,1
31,0.31375,0.32,1,1
32,0.31375,0.33125,1,1
33,0.31375,0.34,1,1
34,0.31375,0.34875,1,1
35,0.31375,0.36,1,1
36,0.31375,0.37125,1,1
37,0.335,0.295,1,1
38,0.335,0.30625,1,1
39,0.335,0.31625,1,1
40,0.34375,0.3,1,1
41,0.34375,0.31625,1,1
42,0.35625,0.305,1,1
43,0.3725,0.3075,1,1
44,0.385,0.3075,1,1
45,0.34125,0.335,1,1
46,0.3625,0.33375,1,1
47,0.38,0.33375,1,1
48,0.34625,0.36,1,1
49,0.37625,0.36125,1,1
50,0.4075,0.285,1,1
51,0.4075,0.29625,1,1
52,0.4075,0.30875,1,1
53,0.4075,0.3275,1,1
54,0.4075,0.36,1,1
55,0.42125,0.2875,1,1
56,0.42125,0.3025,1,1
57,0.42125,0.3175,1,1
58,0.42375,0.33375,1,1
59,0.2975,0.46,1,1
60,0.3225,0.3975,1,1
61,0.34125,0.3975,1,1
62,0.3875,0.3975,1,1
63,0.35875,0.39375,1,1
64,0.36625,0.39375,1,1
65,0.36125,0.40125,1,1
66,0.325,0.41375,1,1
67,0.32375,0.42875,1,1
68,0.34,0.4225,1,1
69,0.3575,0.40875,1,1
70,0.35625,0.425,1,1
71,0.385,0.4225,1,1
72,0.42125,0.46375,1,1
73,0.4275,0.45625,1,1
74,0.55875,0.13625,1,1
75,0.59625,0.13125,1,1
76,0.64375,0.13125,1,1
77,0.6,0.1625,1,1
78,0.61625,0.1625,1,1
79,0.62875,0.1625,1,1
80,0.64125,0.1625,1,1
81,0.65375,0.1625,1,1
82,0.60625,0.21125,1,1
83,0.60625,0.24875,1,1
84,0.68125,0.2725,1,1
85,0.6775,0.28625,1,1
86,0.6575,0.28625,1,1
87,0.6675,0.3,1,1
88,0.64375,0.29125,1,1
89,0.61625,0.29,1,1
90,0.615,0.3025,1,1
91,0.6275,0.305,1,1
92,0.6425,0.30875,1,1
93,0.66,0.3175,1,1
94,0.63625,0.34875,1,1
95,0.6525,0.2575,1,1
96,0.61375,0.395,1,1
97,0.64,0.39,1,1
98,0.62625,0.4,1,1
99,0.65125,0.47125,1,1
100,0.65125,0.51125,1,1
101,0.67625,0.52375,1,1
102,0.64,0.52625,1,1
103,0.65125,0.54125,1,1
104,0.645,0.56125,1,1
105,0.66125,0.5625,1,1
106,0.6425,0.57125,1,1
107,0.65875,0.57125,1,1
108,0.67625,0.58625,1,1
109,0.61375,0.46875,1,1
110,0.61375,0.5,1,1
111,0.61375,0.52375,1,1
112,0.6175,0.55125,1,1
113,0.6175,0.57,1,1
114,0.5825,0.44125,1,1
115,0.5825,0.47375,1,1
116,0.5825,0.51875,1,1
117,0.5475,0.45875,1,1
118,0.55375,0.46,1,1
119,0.545,0.47,1,1
120,0.55,0.475,1,1
121,0.55,0.4975,1,1
122,0.59,0.55625,1,1
123,0.57125,0.56375,1,1
124,0.57375,0.5725,1,1
125,0.59,0.5725,1,1
126,0.605,0.5725,1,1
127,0.55875,0.5525,1,1
128,0.55625,0.56875,1,1
129,0.55,0.58625,1,1
130,0.54125,0.5525,1,1
131,0.535,0.56875,1,1
132,0.51,0.57,1,1
133,0.52375,0.5575,1,1
134,0.505,0.5475,1,1
135,0.52375,0.5425,1,1
136,0.4875,0.52375,1,1
137,0.5025,0.52125,1,1
138,0.51875,0.52125,1,1
139,0.50625,0.5,1,1
140,0.5225,0.5,1,1
141,0.505,0.48375,1,1
142,0.52125,0.48375,1,1
143,0.51375,0.46625,1,1
144,0.48875,0.46,1,1
145,0.50375,0.45,1,1
146,0.52125,0.45,1,1
147,0.56625,0.1625,1,1
148,0.56625,0.17875,1,1
149,0.56625,0.19375,1,1
150,0.56625,0.2075,1,1
151,0.56625,0.21875,1,1
152,0.56625,0.2325,1,1
153,0.56625,0.25375,1,1
154,0.57125,0.28125,1,1
155,0.55875,0.2675,1,1
